Parameters:
  Sample : H3-0-substrate-I7
  Solvent : <unspecified>
  Comment : 1015 nm
I7

  Exc_Wavelength : 633.8 nm
  Exc_Bandpass : 2.5 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Attenuation : open (5)
  Det_Wavelength : 1015.0 nm
  Det_Bandpass : 21.6 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 0.0 mm
  Det_Attenuation : 100 %
  Det_Grating : 600gr_1250bl (2)
  Detector : IR [PMT]
  Meas_Time : 2400.0 s
  Meas_BinWidth : 8000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 2400.0 s
  Meas_PeakCounts : 41 counts
  Sync_Frequency : 5180 Hz
  Sync_Source : PDL 820
  Signal_Rate : 40 cps
  Start_Date : 30/08/2023
  Start_Time : 15:56:37
  PhotonCounter : TimeHarp 260 N 1040436 0121-0120-02.03
  EasyTau : 2568
  Signal_TrigLevel : 18 mV
  Signal_TrigEdge : true
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -50 mV
  Sync_TrigEdge : true
  Sync_Offset : 0 ps
  Sync_SyncDiv : 1 
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.1.2.3 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.7.115 HW:0.1.2.3 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.0.5.61 HW:0.1.2.3 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.5.79 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:1.0.1.2 AUX:0.0.0.0
	DEV(SWT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(ETC):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SMP):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.0.1 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.8.75 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(LSC):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
1663.9999103063	16
1671.99993938993	14
1679.99996847357	13
1687.9999975572	19
1695.99991295399	17
1703.99994203763	12
1711.99997112126	22
1720.00000020489	14
1727.99991560169	11
1735.99994468532	12
1743.99997376895	11
1752.00000285258	16
1759.99991824938	15
1767.99994733301	11
1775.99997641664	15
1784.00000550027	22
1791.99992089707	17
1799.9999499807	18
1807.99997906433	14
1815.99989446113	14
1823.99992354476	11
1831.99995262839	11
1839.99998171203	10
1847.99989710882	19
1855.99992619245	7
1863.99995527609	19
1871.99998435972	21
1879.99989975651	14
1887.99992884014	15
1895.99995792378	15
1903.99998700741	18
1912.00001609104	11
1919.99993148784	14
1927.99984688463	14
1935.9999896551	17
1943.9999050519	7
1952.00004782237	18
1959.99996321916	14
1967.99987861596	15
1976.00002138643	20
1983.99993678322	19
1991.99985218002	10
1999.99999495049	14
2007.99991034728	21
2016.00005311775	19
2023.99996851454	24
2031.99988391134	13
2040.00002668181	17
2047.9999420786	15
2055.9998574754	17
2064.00000024587	19
2071.99991564266	18
2079.99983103946	15
2087.99997380993	15
2095.99988920672	13
2104.00003197719	12
2111.99994737399	8
2119.99986277078	14
2128.00000554125	19
2135.99992093805	17
2143.99983633484	12
2151.99997910531	16
2159.99989450211	18
2168.00003727258	17
2175.99995266937	12
2183.99986806617	12
2192.00001083664	16
2199.99992623343	13
2207.99984163023	17
2215.9999844007	13
2223.99989979749	17
2232.00004256796	18
2239.99995796476	20
2247.99987336155	14
2256.00001613202	7
2263.99993152882	16
2271.99984692561	16
2279.99998969608	19
2287.99990509287	16
2296.00004786334	11
2303.99996326014	18
2311.99987865693	11
2320.0000214274	10
2327.9999368242	19
2335.99985222099	14
2343.99999499146	13
2351.99991038826	20
2359.99982578505	21
2367.99996855552	11
2375.99988395232	21
2384.00002672279	20
2391.99994211958	16
2399.99985751638	12
2408.00000028685	11
2415.99991568364	9
2423.99983108044	12
2431.99997385091	9
2439.9998892477	14
2448.00003201817	12
2455.99994741497	18
2463.99986281176	12
2472.00000558223	20
2479.99992097903	20
2487.99983637582	19
2495.99997914629	17
2503.99989454309	13
2512.00003731356	12
2519.99995271035	10
2527.99986810714	16
2536.00001087761	9
2543.99992627441	11
2551.9998416712	7
2559.99998444167	20
2567.99989983847	14
2575.99981523526	16
2583.99995800573	19
2591.99987340253	8
2600.000016173	7
2607.99993156979	20
2615.99984696659	16
2623.99998973706	22
2631.99990513385	10
2639.99982053065	12
2647.99996330112	15
2655.99987869791	10
2664.00002146838	18
2671.99993686518	13
2679.99985226197	15
2687.99999503244	14
2695.99991042924	9
2703.99982582603	17
2711.9999685965	15
2719.9998839933	21
2728.00002676377	17
2735.99994216056	13
2743.99985755736	12
2752.00000032783	11
2759.99991572462	12
2767.99983112142	11
2775.99997389189	15
2783.99988928868	6
2792.00003205915	21
2799.99994745594	10
2807.99986285274	9
2816.00000562321	11
2823.99992102	10
2831.9998364168	15
2839.99997918727	13
2847.99989458406	15
2855.99980998086	13
2863.99995275133	16
2871.99986814812	22
2880.00001091859	14
2887.99992631539	14
2895.99984171218	19
2903.99998448265	12
2911.99989987945	12
2919.99981527624	18
2927.99995804671	14
2935.99987344351	12
2944.00001621398	15
2951.99993161077	13
2959.99984700757	11
2967.99998977804	12
2975.99990517483	17
2983.99982057163	19
2991.9999633421	9
2999.99987873889	6
3008.00002150936	7
3015.99993690615	13
3023.99985230295	6
3031.99999507342	18
3039.99991047021	16
3047.99982586701	17
3055.99996863748	17
3063.99988403427	9
3071.99979943107	16
3079.99994220154	10
3087.99985759833	7
3096.0000003688	20
3103.9999157656	13
3111.99983116239	13
3119.99997393286	13
3127.99988932966	21
3135.99980472645	12
3143.99994749692	9
3151.99986289372	13
3160.00000566419	14
3167.99992106098	11
3175.99983645778	14
3183.99997922825	18
3191.99989462504	12
3199.99981002184	12
3207.99995279231	16
3215.9998681891	8
3224.00001095957	7
